id,name,state,city,latitude,longitude,roof_area_sqft,roof_over_100k,roof_area_score,roof_threshold_bonus,annual_rain_inches,annual_precip_score,annual_capture_gallons,annual_capture_score,cooling_degree_days,cooling_degree_days_score,water_cost,water_cost_score,state_policy_score,local_incentive_score,cooling_tower_score,cooling_confidence,building_type_score,facility_score,improvement_value_score,flood_score,water_stress_score,esg_score,leed_score,energy_star_score,opportunity_type,explanation,visual_notes,cooling_tower_distance_m,facility_distance_m,energy_star_distance_m,leed_distance_m,policy_notes,building_perimeter_ft,bbox_width_ft,bbox_height_ft,bbox_area_sqft,elongation_ratio,rectangularity_score,shape_compactness,perimeter_score,rectangular_roof_score,compact_roof_score,elongation_penalty_score,roof_geometry_quality_score,base_viability_score,confidence_multiplier,final_viability_score,global_rank,state_rank,building_name,short_address,zip_code
west_virginia_ed10d8ef0e9b,Candidate west_virginia_ed10d8ef0e9b,West Virginia,Pleasants County,39.366714,-81.294281,544052.04,True,0.0068,1,45.3,0.6818,15354182.27,0.0243,13,0.0366,123,1.0,0,0,0.8,0.75,0.0068,1.0,0.6585,0.0,0.0,0.4,0.0134,0.0,Balanced Opportunity,"Strong candidate due to very large roof catchment area, strong rainfall potential, very high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,284.2933679348,19.2175973754,,,,3520.17,1061.7,952.85,1011640.85,1.1142,0.5378,0.5517,0.0426,0.5378,0.5517,0.9957,0.6342,0.458328,0.97,44.46,1,1,"WV 2, Pleasants County","WV 2, Pleasants County, West Virginia 26134",26134
west_virginia_9b658765cd9d,Candidate west_virginia_9b658765cd9d,West Virginia,New Haven,38.979407,-81.935391,108846.83,True,0.0001,1,45.3,0.6818,3071864.35,0.0037,13,0.0366,123,1.0,0,0,0.8,0.75,0.0001,1.0,0.6513,0.0,0.0,0.4,0.0134,0.0,Balanced Opportunity,"Strong candidate due to large roof catchment area, strong rainfall potential, high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,287.6954562447,105.5526225275,,,,1929.0,390.79,576.46,225274.8,1.4751,0.4832,0.3676,0.0139,0.4832,0.3676,0.982,0.5425,0.443847,0.97,43.05,2,2,"Graham Station Road, New Haven","Graham Station Road, New Haven, West Virginia 25265",25265
west_virginia_98d4aad08251,Candidate west_virginia_98d4aad08251,West Virginia,Putnam County,38.473496,-81.822324,182451.95,True,0.0013,1,45.3,0.6818,5149140.69,0.0072,13,0.0366,123,1.0,0,0,0.8,0.75,0.0013,1.0,0.6525,0.0,0.0,0.4,0.0134,0.0,Balanced Opportunity,"Strong candidate due to large roof catchment area, strong rainfall potential, very high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,212.8656866027,102.3948407961,,,,2783.91,583.62,676.89,395046.54,1.1598,0.4618,0.2958,0.0293,0.4618,0.2958,0.9939,0.5101,0.440559,0.97,42.73,3,3,John Amos Power Plant,"Putnam County, West Virginia 25159",25159
west_virginia_bda0676b5c1a,Candidate west_virginia_bda0676b5c1a,West Virginia,New Haven,38.978935,-81.937357,411671.34,True,0.0048,1,45.3,0.6818,11618147.39,0.018,13,0.0366,123,1.0,0,0,0.8,0.75,0.0048,1.0,0.6563,0.0,0.0,0.4,0.0134,0.0,Balanced Opportunity,"Strong candidate due to very large roof catchment area, strong rainfall potential, very high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,237.7332620262,208.3426749149,,,,4023.34,920.72,1151.51,1060218.29,1.2507,0.3883,0.3196,0.0517,0.3883,0.3196,0.9905,0.4847,0.439332,0.97,42.62,4,4,"Graham Station Road, New Haven","Graham Station Road, New Haven, West Virginia 25265",25265
west_virginia_b503078740b8,Candidate west_virginia_b503078740b8,Kentucky,Lawrence County,38.171097,-82.617991,271901.48,True,0.0026,1,45.3,0.6818,7673576.38,0.0114,13,0.0366,123,1.0,0,0,0.8,0.75,0.0026,1.0,0.654,0.0,0.0,0.4,0.0134,0.0,Balanced Opportunity,"Strong candidate due to very large roof catchment area, strong rainfall potential, very high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,215.3256208984,50.2561878822,,,,4039.06,1118.67,497.54,556583.07,2.2484,0.4885,0.2094,0.0519,0.4885,0.2094,0.9526,0.4836,0.438078,0.97,42.49,5,5,Big Sandy Plant,"Lawrence County, Kentucky",
maryland_c052567ccb97,Candidate maryland_c052567ccb97,Maryland,Prince George's County,38.54425,-76.689441,133945.66,True,0.0005,1,44.64,0.6676,3725125.25,0.0048,10,0.0282,54,0.3235,0,0,1.0,0.9,0.0005,0.8,0.3073,0.0,0.0,0.4,0.5772,0.0,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, strong roof geometry for water collection, strong rainfall potential, high annual capture potential, strong nearby cooling demand signal.",Large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,1.2667575175,372.5306790609,,,,1312.09,410.87,412.32,169409.92,1.0035,0.7907,0.9777,0.0028,0.7907,0.9777,0.9999,0.898,0.421467,1.0,42.15,6,1,Chalk Point Generating Station,"Chalk Point Road, Prince George's County, Maryland 20608",20608
west_virginia_f2b44a37367d,Candidate west_virginia_f2b44a37367d,West Virginia,Putnam County,38.47503,-81.823668,132866.07,True,0.0005,1,45.3,0.6818,3749732.94,0.0049,13,0.0366,123,1.0,0,0,0.8,0.75,0.0005,1.0,0.6517,0.0,0.0,0.4,0.0134,0.0,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, strong rainfall potential, high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,277.9392155637,59.6334280043,,,,2557.22,646.44,664.78,429740.38,1.0284,0.3092,0.2553,0.0252,0.3092,0.2553,0.9989,0.4283,0.430347,0.97,41.74,7,6,John Amos Power Plant,"Putnam County, West Virginia 25159",25159
west_virginia_796e94ec864a,Candidate west_virginia_796e94ec864a,West Virginia,Haywood,39.384276,-80.332804,473478.23,True,0.0057,1,45.3,0.6818,13362455.26,0.021,13,0.0366,123,1.0,0,0,0.6,0.6,0.0057,1.0,0.6574,0.0,0.0,0.4,0.0134,0.0,Balanced Opportunity,"Strong candidate due to very large roof catchment area, strong rainfall potential, very high annual capture potential, moderate nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Moderate nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,376.9860246283,37.1254372566,,,,3576.12,1056.95,932.77,985891.25,1.1331,0.4803,0.4653,0.0436,0.4803,0.4653,0.995,0.578,0.429023,0.97,41.62,8,7,Harrison Power Station,"Webner Drive, Haywood, West Virginia 26366",26366
texas_6ca59416fe52,Candidate texas_6ca59416fe52,Texas,Houston,29.775289,-95.270713,223131.89,True,0.0019,1,28.87,0.3283,4013252.4,0.0053,258,0.7268,48,0.2647,0,0,0.8,0.75,0.0019,1.0,0.321,0.0,0.0,0.4,1.0,0.0,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, moderate rainfall potential, high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,295.3898262796,109.192053406,,,,2349.72,765.87,381.22,291964.96,2.009,0.7642,0.5079,0.0215,0.7642,0.5079,0.9617,0.714,0.414928,0.97,40.25,9,1,"Gellhorn Drive, Houston","Gellhorn Drive, Houston, Texas 77029",77029
oklahoma_9f3b32d1ff12,Candidate oklahoma_9f3b32d1ff12,Oklahoma,Muskogee,35.767776,-95.354297,211144.35,True,0.0017,1,36.55,0.4935,4807894.09,0.0066,65,0.1831,42,0.2059,0,0,1.0,0.9,0.0017,0.8,0.255,0.0,0.0,0.4,0.0604,0.0,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, moderate rainfall potential, high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,112.9160913529,383.6670840114,,,,2030.05,724.96,441.11,319787.11,1.6435,0.6603,0.6438,0.0157,0.6603,0.6438,0.9756,0.7176,0.387111,1.0,38.71,10,1,"299 Old Shawnee Road, Muskogee","Old Shawnee Road, Muskogee, Oklahoma 74403",74403
texas_9327c54e696e,Candidate texas_9327c54e696e,Texas,Houston,29.772385,-95.271235,1256073.0,True,0.0176,1,28.87,0.3283,22591741.54,0.0364,258,0.7268,48,0.2647,0,0,0.8,0.75,0.0176,0.8,0.2919,0.0,0.0,0.4,1.0,0.0,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, moderate rainfall potential, very high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,272.1902503473,267.8294394103,,,,6747.04,1004.36,1817.68,1825605.08,1.8098,0.688,0.3467,0.1007,0.688,0.3467,0.9693,0.6248,0.392311,0.97,38.05,11,2,"775 Gellhorn Drive, Houston","Gellhorn Drive, Houston, Texas 77029",77029
new_mexico_deb55392f13f,Candidate new_mexico_deb55392f13f,New Mexico,Doña Ana County,32.895119,-106.382085,65602689.55,True,1.0,1,14.63,0.0219,597935057.88,1.0,18,0.0507,35,0.1373,0,0,0.1,0.3,1.0,0.1,0.4318,0.0,0.0,0.4,0.1745,0.0,Rainfall-Driven,"Strong candidate due to very large roof catchment area, very high annual capture potential.",Very large roof catchment area; Near sustainability-certified building context,91047.0682601278,13470.2338150306,,,,50433.58,8900.45,11375.85,101250184.13,1.2781,0.6479,0.3241,0.888,0.6479,0.3241,0.9894,0.6029,0.43116,0.88,37.94,12,1,Doña Ana County,"Doña Ana County, New Mexico",
florida_1ddd9d922a6f,Candidate florida_1ddd9d922a6f,Florida,Ocala,29.177538,-82.203755,2657291.77,True,0.039,1,54.57,0.8812,90340240.61,0.1499,355,1.0,37,0.1569,0,0,0.1,0.3,0.039,1.0,0.3231,0.0,0.0,0.4,0.9396,0.0,Balanced Opportunity,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,637588.8893203705,146.3286897826,,,,6891.0,1895.13,1482.03,2808639.51,1.2787,0.9461,0.7032,0.1033,0.9461,0.7032,0.9894,0.8697,0.426576,0.88,37.54,13,1,"Southwest 6th Place, Ocala","Southwest 6th Place, Ocala, Florida 34474",34474
texas_64bbac394cea,Candidate texas_64bbac394cea,Texas,Houston,29.670715,-95.387544,430435.88,True,0.005,1,28.87,0.3283,7741824.04,0.0115,258,0.7268,48,0.2647,0,0,0.6,0.6,0.005,1.0,0.3231,0.0,0.0,0.4,1.0,0.0,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, moderate rainfall potential, very high annual capture potential, moderate nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Moderate nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,489.5475488753,247.7579004769,,,,4429.71,263.32,1875.95,493975.15,7.1242,0.8714,0.2757,0.059,0.8714,0.2757,0.7676,0.6421,0.385509,0.97,37.39,14,3,"Holmes Road, Houston","Holmes Road, Houston, Texas 77033",77033
north_carolina_3fb8969259e9,Candidate north_carolina_3fb8969259e9,North Carolina,Clemmons,36.028523,-80.397423,127074.55,True,0.0004,1,50.45,0.7926,3993997.58,0.0053,36,0.1014,21,0.0,0,0,1.0,0.9,0.0004,1.0,0.2019,0.0,0.0,0.4,0.4161,0.0,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, strong rainfall potential, high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,106.2680293638,219.8959779909,,,,2340.6,563.17,499.92,281539.95,1.1265,0.4514,0.2915,0.0213,0.4514,0.2915,0.9952,0.5042,0.37378,1.0,37.38,15,1,Village Cafe,"Village Medical Circle, Clemmons, North Carolina 27012",27012
illinois_9750bf0f35cf,Candidate illinois_9750bf0f35cf,Illinois,Cicero,41.857328,-87.757961,372924.35,True,0.0042,1,39.32,0.5531,9135289.13,0.0139,0,0.0,28,0.0686,0,0,1.0,0.9,0.0042,1.0,0.2357,0.0,0.0,0.4,0.6577,0.0,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, moderate rainfall potential, very high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,89.0260671698,39.3710336042,,,,3825.77,810.06,711.01,575960.76,1.1393,0.6475,0.3202,0.0481,0.6475,0.3202,0.9947,0.6024,0.370163,1.0,37.02,16,1,"West 16th Street, Cicero","West 16th Street, Cicero, Illinois 60804",60804
illinois_0ef691123bed,Candidate illinois_0ef691123bed,Illinois,Wheaton,41.866676,-88.099433,107127.06,True,0.0001,1,39.32,0.5531,2624223.03,0.003,0,0.0,28,0.0686,0,0,1.0,0.9,0.0001,0.8,0.1919,0.0,0.0,0.4,0.6577,0.0,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, moderate rainfall potential, high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,68.8017444575,367.957217182,,,,1740.59,519.34,251.59,130660.75,2.0642,0.8199,0.4443,0.0105,0.8199,0.4443,0.9596,0.7164,0.36392,1.0,36.39,17,2,"College Avenue, Wheaton","College Avenue, Wheaton, Illinois 60187",60187
florida_a3dcf81584b3,Candidate florida_a3dcf81584b3,Florida,Lakeland,28.03492,-82.050143,448103.9,True,0.0053,1,54.57,0.8812,15234237.58,0.0241,355,1.0,37,0.1569,0,0,0.1,0.3,0.0053,1.0,0.279,0.0,0.0,0.4,0.9396,0.0,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,783014.1699159263,15.6463531008,,,,2679.93,702.32,647.14,454499.36,1.0853,0.9859,0.784,0.0275,0.9859,0.784,0.9968,0.9174,0.412149,0.88,36.27,18,2,"Frontage Road South, Lakeland","Frontage Road South, Lakeland, Florida",
florida_61288dfa6525,Candidate florida_61288dfa6525,Florida,Jacksonville,30.266491,-81.890171,1363016.97,True,0.0193,1,54.57,0.8812,46338637.86,0.0762,355,1.0,37,0.1569,0,0,0.1,0.3,0.0193,1.0,0.2973,0.0,0.0,0.4,0.9396,0.0,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,511951.1446695028,36.4242843244,,,,5162.26,1661.03,861.79,1431459.04,1.9274,0.9522,0.6427,0.0722,0.9522,0.6427,0.9648,0.8464,0.411981,0.88,36.25,19,3,"POW-MIA Memorial Parkway, Jacksonville","POW-MIA Memorial Parkway, Jacksonville, Florida",
florida_d3061dee68ac,Candidate florida_d3061dee68ac,Florida,Jacksonville,30.423073,-81.63438,292709.09,True,0.0029,1,54.57,0.8812,9951263.13,0.0152,355,1.0,37,0.1569,0,0,0.1,0.3,0.0029,1.0,0.2759,0.0,0.0,0.4,0.9396,0.0,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,503146.9262827578,8.8808534148,,,,2165.06,559.88,528.15,295700.62,1.0601,0.9899,0.7847,0.0182,0.9899,0.7847,0.9977,0.9196,0.410985,0.88,36.17,20,4,"Busch Drive North, Jacksonville","Busch Drive North, Jacksonville, Florida 32218",32218
florida_842a68e3e229,Candidate florida_842a68e3e229,Florida,Progress Village,27.880968,-82.360992,270299.88,True,0.0026,1,54.57,0.8812,9189414.75,0.014,355,1.0,37,0.1569,0,0,0.1,0.3,0.0026,1.0,0.2755,0.0,0.0,0.4,0.9396,0.0,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,796438.7169916416,240.6143553725,,,,2080.57,507.29,538.79,273322.78,1.0621,0.9889,0.7847,0.0167,0.9889,0.7847,0.9976,0.9192,0.410748,0.88,36.15,21,5,"Eagle Palm Drive, Progress Village","Eagle Palm Drive, Progress Village, Florida 33569",33569
west_virginia_40fa201bc0b1,Candidate west_virginia_40fa201bc0b1,West Virginia,Weirton,40.389485,-80.619502,125033.06,True,0.0004,1,45.3,0.6818,3528670.52,0.0045,13,0.0366,123,1.0,0,0,0.1,0.3,0.0004,1.0,0.6516,0.0,0.0,0.4,0.0134,0.0,Balanced Opportunity,"Strong candidate due to large roof catchment area, strong roof geometry for water collection, strong rainfall potential, high annual capture potential, strong industrial or regulated facility context.",Large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,108954.7836585862,64.4463288992,,,,1424.62,318.47,402.79,128276.53,1.2648,0.9747,0.7742,0.0048,0.9747,0.7742,0.99,0.9076,0.4108,0.88,36.15,22,8,"628 Hamilton Road, Weirton","Hamilton Road, Weirton, West Virginia 26062",26062
florida_6a3f3209c3a7,Candidate florida_6a3f3209c3a7,Florida,Haines City,28.08203,-81.614714,260208.21,True,0.0024,1,54.57,0.8812,8846327.14,0.0134,355,1.0,37,0.1569,0,0,0.1,0.3,0.0024,1.0,0.2753,0.0,0.0,0.4,0.9396,0.0,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,787819.1875077258,91.6021250114,,,,2053.18,456.89,571.26,261002.98,1.2503,0.997,0.7757,0.0162,0.997,0.7757,0.9905,0.9182,0.410526,0.88,36.13,23,6,mcLane,"Depot Way, Haines City, Florida 33844",33844
florida_fcc05bf6e4e8,Candidate florida_fcc05bf6e4e8,Florida,Orlando,28.419484,-81.364859,340285.23,True,0.0037,1,54.57,0.8812,11568714.4,0.018,355,1.0,37,0.1569,0,0,0.1,0.3,0.0037,1.0,0.2769,0.0,0.0,0.4,0.9396,0.0,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,754370.3524410104,185.709030034,,,,2364.56,497.8,688.51,342740.28,1.3831,0.9928,0.7648,0.0218,0.9928,0.7648,0.9855,0.9115,0.410469,0.88,36.12,24,7,Airport International Park of Orlando,"Tradeport Drive, Orlando, Florida 32862",32862
florida_1a4b9bc825f5,Candidate florida_1a4b9bc825f5,Florida,Progress Village,27.885171,-82.356384,269523.98,True,0.0026,1,54.57,0.8812,9163036.4,0.0139,355,1.0,37,0.1569,0,0,0.1,0.3,0.0026,1.0,0.2755,0.0,0.0,0.4,0.9396,0.0,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,795987.6874296047,148.0709982245,,,,2095.57,454.7,595.01,270551.05,1.3086,0.9962,0.7713,0.0169,0.9962,0.7713,0.9883,0.9159,0.41034,0.88,36.11,25,8,Spoto High School,"Breezy Palm Drive, Progress Village, Florida 33578",33578
new_mexico_d213afa2de56,Candidate new_mexico_d213afa2de56,New Mexico,Doña Ana County,32.899328,-106.377712,64059761.49,True,0.9764,1,14.63,0.0219,583872055.5,0.9764,18,0.0507,35,0.1373,0,0,0.1,0.3,0.9764,0.1,0.4235,0.0,0.0,0.4,0.1745,0.0,Rainfall-Driven,"Strong candidate due to very large roof catchment area, very high annual capture potential.",Very large roof catchment area; Near sustainability-certified building context,91764.2794756359,14093.0051172111,,,,56649.1,12440.9,11922.71,148329242.84,1.0435,0.4319,0.2508,1.0,0.4319,0.2508,0.9983,0.4818,0.410256,0.88,36.1,26,2,Doña Ana County,"Doña Ana County, New Mexico",
florida_29accf483a75,Candidate florida_29accf483a75,Florida,Lakeland,28.072385,-81.983254,235879.37,True,0.0021,1,54.57,0.8812,8019216.89,0.012,355,1.0,37,0.1569,0,0,0.1,0.3,0.0021,1.0,0.2748,0.0,0.0,0.4,0.9396,0.0,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,779819.137841891,202.8891934,,,,1949.28,513.87,463.59,238224.99,1.1085,0.9902,0.7801,0.0143,0.9902,0.7801,0.9959,0.9178,0.410265,0.88,36.1,27,9,"Kathleen Road, Lakeland","Kathleen Road, Lakeland, Florida 33815",33815
texas_b761f0a012e8,Candidate texas_b761f0a012e8,Texas,Houston,29.670527,-95.388395,432735.98,True,0.0051,1,28.87,0.3283,7783193.66,0.0116,258,0.7268,48,0.2647,0,0,0.6,0.6,0.0051,0.8,0.2832,0.0,0.0,0.4,1.0,0.0,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, moderate rainfall potential, very high annual capture potential, moderate nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Moderate nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,391.8563568305,259.344135479,,,,4013.35,276.84,1745.64,483262.98,6.3056,0.8954,0.3376,0.0515,0.8954,0.3376,0.7987,0.6808,0.37218,0.97,36.1,28,4,"Holmes Road, Houston","Holmes Road, Houston, Texas 77033",77033
florida_0f666366563b,Candidate florida_0f666366563b,Florida,Jacksonville,30.377261,-81.789534,356684.34,True,0.0039,1,54.57,0.8812,12126236.74,0.0189,355,1.0,37,0.1569,0,0,0.1,0.3,0.0039,1.0,0.2772,0.0,0.0,0.4,0.9396,0.0,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,502280.4284981421,203.5595984769,,,,2407.72,598.96,614.27,367923.16,1.0256,0.9695,0.7732,0.0225,0.9695,0.7732,0.999,0.9067,0.410031,0.88,36.08,29,10,"4300 Bulls Bay Highway, Jacksonville","Bulls Bay Highway, Jacksonville, Florida 32219",32219
