id,global_rank,state_rank,state,name,city,latitude,longitude,roof_area_sqft,annual_rain_inches,annual_capture_gallons,cooling_tower_score,cooling_confidence,cooling_tower_distance_m,facility_score,water_cost_score,roof_geometry_quality_score,final_viability_score,opportunity_type,explanation,visual_notes,review_scope,review_status,primary_visual_source,satellite_review_status,satellite_context_observation,sentinel_landsat_note,gee_note,high_res_confirmation_note,usable_roof_observation,rooftop_obstruction_flag,rooftop_obstruction_notes,cooling_visual_support,cooling_visual_confidence,site_context_note,imagery_note,reviewed_by,reviewed_at,google_earth_link,gee_reference_link,high_res_confirmation_link,review_workflow
alabama_c196dbfee804,10531,1,Alabama,,,30.557912,-88.208319,465957.49,58.28,16918189.57,0.1,0.3,672649.9859773022,1.0,0.049,0.9087,30.9,Rainfall-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,state_top_100,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/30.557912,-88.208319",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2030.557912%20-88.208319,"https://www.google.com/maps?q=30.557912,-88.208319&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
alabama_10cd9748ddb4,10611,2,Alabama,,,33.18659,-87.270513,437934.95,58.28,15900734.86,0.1,0.3,445488.7034888649,1.0,0.049,0.9099,30.88,Rainfall-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,state_top_100,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/33.18659,-87.270513",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2033.18659%20-87.270513,"https://www.google.com/maps?q=33.18659,-87.270513&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
alabama_76dc6dd57e75,10798,3,Alabama,,,34.664611,-86.767498,443022.66,58.28,16085461.67,0.1,0.3,389615.5919483229,1.0,0.049,0.9049,30.83,Rainfall-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,state_top_100,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/34.664611,-86.767498",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2034.664611%20-86.767498,"https://www.google.com/maps?q=34.664611,-86.767498&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
alabama_c05da6a00421,11192,4,Alabama,,,33.217378,-87.618939,148264.76,58.28,5383262.14,0.1,0.3,482471.3769415104,1.0,0.049,0.9183,30.73,Rainfall-Driven,"Strong candidate due to large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,state_top_100,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/33.217378,-87.618939",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2033.217378%20-87.618939,"https://www.google.com/maps?q=33.217378,-87.618939&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
alabama_f59796dfc517,11263,5,Alabama,,,30.841654,-87.778369,562781.39,58.28,20433714.33,0.1,0.3,639106.7006449531,1.0,0.049,0.8832,30.71,Rainfall-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,state_top_100,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/30.841654,-87.778369",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2030.841654%20-87.778369,"https://www.google.com/maps?q=30.841654,-87.778369&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
alabama_a13c58a812fb,11354,6,Alabama,,,34.127627,-86.85562,182603.88,58.28,6630062.02,0.1,0.3,388122.7488260014,1.0,0.049,0.9114,30.69,Rainfall-Driven,"Strong candidate due to large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,state_top_100,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/34.127627,-86.85562",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2034.127627%20-86.85562,"https://www.google.com/maps?q=34.127627,-86.85562&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
alabama_9810b42b7c4a,11411,7,Alabama,,,32.425575,-86.442168,496016.15,58.28,18009572.62,0.1,0.3,397208.1845665325,1.0,0.049,0.8847,30.67,Rainfall-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,state_top_100,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/32.425575,-86.442168",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2032.425575%20-86.442168,"https://www.google.com/maps?q=32.425575,-86.442168&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
alabama_73a883b04411,11425,8,Alabama,,,30.662724,-87.757837,114682.76,58.28,4163952.11,0.1,0.3,652512.4099368638,1.0,0.049,0.915,30.67,Rainfall-Driven,"Strong candidate due to large roof catchment area, strong roof geometry for water collection, strong rainfall potential, high annual capture potential, strong industrial or regulated facility context.",Large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,state_top_100,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/30.662724,-87.757837",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2030.662724%20-87.757837,"https://www.google.com/maps?q=30.662724,-87.757837&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
alabama_633567ba4785,11495,9,Alabama,,,33.185628,-87.278909,304848.82,58.28,11068585.09,0.1,0.3,446427.7649929181,1.0,0.049,0.8985,30.65,Rainfall-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,state_top_100,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/33.185628,-87.278909",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2033.185628%20-87.278909,"https://www.google.com/maps?q=33.185628,-87.278909&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
alabama_91dd272996e6,11508,10,Alabama,,,34.77256,-86.649029,149032.84,58.28,5411149.93,0.1,0.3,380836.5018571188,1.0,0.049,0.9106,30.65,Rainfall-Driven,"Strong candidate due to large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,state_top_100,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/34.77256,-86.649029",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2034.77256%20-86.649029,"https://www.google.com/maps?q=34.77256,-86.649029&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
