id,global_rank,state_rank,state,name,city,latitude,longitude,roof_area_sqft,annual_rain_inches,annual_capture_gallons,cooling_tower_score,cooling_confidence,cooling_tower_distance_m,facility_score,water_cost_score,roof_geometry_quality_score,final_viability_score,opportunity_type,explanation,visual_notes,review_scope,review_status,primary_visual_source,satellite_review_status,satellite_context_observation,sentinel_landsat_note,gee_note,high_res_confirmation_note,usable_roof_observation,rooftop_obstruction_flag,rooftop_obstruction_notes,cooling_visual_support,cooling_visual_confidence,site_context_note,imagery_note,reviewed_by,reviewed_at,google_earth_link,gee_reference_link,high_res_confirmation_link,review_workflow
west_virginia_ed10d8ef0e9b,1,1,West Virginia,,,39.366714,-81.294281,544052.04,45.3,15354182.27,0.8,0.75,284.29336793477705,1.0,1.0,0.6342,44.46,Balanced Opportunity,"Strong candidate due to very large roof catchment area, strong rainfall potential, very high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/39.366714,-81.294281",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2039.366714%20-81.294281,"https://www.google.com/maps?q=39.366714,-81.294281&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
west_virginia_9b658765cd9d,2,2,West Virginia,,,38.979407,-81.935391,108846.83,45.3,3071864.35,0.8,0.75,287.6954562446873,1.0,1.0,0.5425,43.05,Balanced Opportunity,"Strong candidate due to large roof catchment area, strong rainfall potential, high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/38.979407,-81.935391",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2038.979407%20-81.935391,"https://www.google.com/maps?q=38.979407,-81.935391&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
west_virginia_98d4aad08251,3,3,West Virginia,,,38.473496,-81.822324,182451.95,45.3,5149140.69,0.8,0.75,212.8656866027478,1.0,1.0,0.5101,42.73,Balanced Opportunity,"Strong candidate due to large roof catchment area, strong rainfall potential, very high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/38.473496,-81.822324",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2038.473496%20-81.822324,"https://www.google.com/maps?q=38.473496,-81.822324&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
west_virginia_bda0676b5c1a,4,4,West Virginia,,,38.978935,-81.937357,411671.34,45.3,11618147.39,0.8,0.75,237.73326202618952,1.0,1.0,0.4847,42.62,Balanced Opportunity,"Strong candidate due to very large roof catchment area, strong rainfall potential, very high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/38.978935,-81.937357",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2038.978935%20-81.937357,"https://www.google.com/maps?q=38.978935,-81.937357&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
west_virginia_b503078740b8,5,5,West Virginia,,,38.171097,-82.617991,271901.48,45.3,7673576.38,0.8,0.75,215.32562089840533,1.0,1.0,0.4836,42.49,Balanced Opportunity,"Strong candidate due to very large roof catchment area, strong rainfall potential, very high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/38.171097,-82.617991",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2038.171097%20-82.617991,"https://www.google.com/maps?q=38.171097,-82.617991&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
maryland_c052567ccb97,6,1,Maryland,,,38.54425,-76.689441,133945.66,44.64,3725125.25,1.0,0.9,1.2667575174899863,0.8,0.3235,0.898,42.15,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, strong roof geometry for water collection, strong rainfall potential, high annual capture potential, strong nearby cooling demand signal.",Large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/38.54425,-76.689441",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2038.54425%20-76.689441,"https://www.google.com/maps?q=38.54425,-76.689441&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
west_virginia_f2b44a37367d,7,6,West Virginia,,,38.47503,-81.823668,132866.07,45.3,3749732.94,0.8,0.75,277.93921556368485,1.0,1.0,0.4283,41.74,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, strong rainfall potential, high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/38.47503,-81.823668",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2038.47503%20-81.823668,"https://www.google.com/maps?q=38.47503,-81.823668&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
west_virginia_796e94ec864a,8,7,West Virginia,,,39.384276,-80.332804,473478.23,45.3,13362455.26,0.6,0.6,376.98602462831786,1.0,1.0,0.578,41.62,Balanced Opportunity,"Strong candidate due to very large roof catchment area, strong rainfall potential, very high annual capture potential, moderate nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Moderate nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/39.384276,-80.332804",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2039.384276%20-80.332804,"https://www.google.com/maps?q=39.384276,-80.332804&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
texas_6ca59416fe52,9,1,Texas,,,29.775289,-95.270713,223131.89,28.87,4013252.4,0.8,0.75,295.3898262796214,1.0,0.2647,0.714,40.25,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, moderate rainfall potential, high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/29.775289,-95.270713",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2029.775289%20-95.270713,"https://www.google.com/maps?q=29.775289,-95.270713&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
oklahoma_9f3b32d1ff12,10,1,Oklahoma,,,35.767776,-95.354297,211144.35,36.55,4807894.09,1.0,0.9,112.91609135285084,0.8,0.2059,0.7176,38.71,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, moderate rainfall potential, high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/35.767776,-95.354297",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2035.767776%20-95.354297,"https://www.google.com/maps?q=35.767776,-95.354297&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
